Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Daadcity,444374162,3,3,0,148110,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Azza 2017,525689438,51,27,24,108319,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
DarthSinister,787198725,25,11,14,121215,Shaak Ti R3 Fives R2 Rex R2 Echo (501st) R2 ARC Trooper R2
Macvidar92,295681967,58,0,58,53034,Shaak Ti G8 Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
DeputyDan,719787543,5,0,5,135244,Shaak Ti R1 Fives Rex Echo (501st) R4 ARC Trooper
IceStoy,298744196,60,40,20,108362,Shaak Ti Fives G12 Rex R2 Echo (501st) R2 ARC Trooper G10 4*
TonkaDavid,759331513,32,24,8,129682,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
JRobertson12,221913824,27,1,26,107719,Shaak Ti Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G11
WildfireX,552286427,10,6,4,143142,Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper
Orion,951862265,37,23,14,126987,Shaak Ti Fives R3 Rex G12 Echo (501st) ARC Trooper G12
skull crusher,776436941,2,0,2,134503,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
Inquísìtor Strize,486434149,56,56,0,136721,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jason,467564358,4,4,0,150873,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Qin Phfal,237375819,10,10,0,138379,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dexter,259247871,22,9,13,130300,Shaak Ti Fives Rex R4 Echo (501st) G12 ARC Trooper G12
Metatron72,588623761,19,5,14,127409,Shaak Ti Fives Rex R3 Echo (501st) G12 ARC Trooper G12
Bigs Little,617228366,47,1,46,79638,Shaak Ti G8 Fives G10 Rex G11 Echo (501st) G8 ARC Trooper G7
R2D2,889324759,28,1,27,110302,Shaak Ti R3 Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G12
Q92,261337715,48,21,27,101006,Shaak Ti Fives G10 Rex G12 Echo (501st) G11 ARC Trooper G12
BabyGoat851,996376328,33,0,33,100150,Shaak Ti Fives G12 Rex G12 Echo (501st) R2 ARC Trooper G0 0*
Diath,858559118,29,23,6,131601,Shaak Ti Fives R4 Rex R3 Echo (501st) R3 ARC Trooper R4
Pommy,142277723,21,21,0,142553,Shaak Ti Fives Rex Echo (501st) ARC Trooper
BearLee,387139863,26,7,19,116809,Shaak Ti Fives R4 Rex G12 Echo (501st) G12 ARC Trooper G12
Ωhme,449894731,59,56,3,136341,Shaak Ti Fives Rex Echo (501st) R3 ARC Trooper R4
Ghost Nappa,365784761,32,10,22,106723,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G12
Vel'Train,455642849,44,2,42,77746,Shaak Ti G11 Fives G9 Rex G11 Echo (501st) G9 ARC Trooper G8
Jameson,922247616,22,1,21,117270,Shaak Ti G9 Fives Rex Echo (501st) G12 ARC Trooper G12
Dhsk,466455974,50,0,50,67940,Shaak Ti G9 Fives G9 Rex G8 Echo (501st) G7 ARC Trooper G7
CT5555,981748341,0,0,0,140313,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MasterShep2,332979431,11,11,0,139123,Shaak Ti Fives Rex Echo (501st) ARC Trooper
KoninginKonan,968292886,31,11,20,118802,Shaak Ti Fives G12 Rex R1 Echo (501st) R1 ARC Trooper G12
