Player,Offense,Defense,GP,Name,Squad,Viable
"Force User",0,1,45121,Phoenix,"Hera G8, Kanan G8, Ezra G7, Zeb G8, Chopper 6* G8",0
"Tam Elyod",1,1,79970,zEP,"zEP zVader Tarkin TFP G9, Mara Jade, The Emperor's Hand 4*",0
"Tam Elyod",0,1,82760,BH,"zBossk 5* Cad G8, IG-88 Boba Dengar",0
"Thayn Borrallis",0,1,64659,Phoenix,"Hera Kanan G8, Ezra Zeb G8, Chopper G9",1
"Thayn Borrallis",,,36745,Phasma,"Phasma 6* G8, FOE 5* G8, FOO 5* G8, KRU 5* G9, Kylo 5* G8",0
"Thayn Borrallis",1,1,35350,NS_Alt,"MT 5* G8, AV 5* G8, Talia 5* G8, Daka 5* G8, Spirit 5* G8",0
"Thayn Borrallis",1,1,67829,zEP,"EP zVader Tarkin Dooku 5* G8, TFP 6* G8",0
"Thayn Borrallis",0,1,45288,BH,"Bossk 4* G7, Greedo 5* G8, Cad G9, IG-88 5* G8, Boba 6* G8",0
"Thayn Borrallis",1,0,36931,501st,"Rex 5* G8, Clone Sergeant 5* G8, Echo (501st) 5* G8, Fives 5* G8, Ahsoka 6* G8",0
"Thayn Borrallis",1,0,38583,Wiggs,"Wedge 5* G8, Biggs 5* G8, Leia G8, Chirrut 5* G8, Baze 5* G8",0
"Xannax",,,49862,Phasma,"Phasma G8, FOE 5* G8, FOO 6* G8, KRU Kylo G8",0
"Xannax",1,1,37445,NS_Alt,"MT 5* G8, AV G8, Talia 5* G8, Daka 6* G8, Spirit 5* G8",0
"Xannax",1,1,66699,zEP,"zEP zVader Tarkin G8, TFP G8, DN 5* G8",0
"Xannax",1,0,36305,501st,"Rex 5* G8, Clone Sergeant 5* G8, Echo (501st) 5* G8, Fives 5* G8, Ahsoka G8",0
"Xannax",0,1,61276,BH,"Jango 6* G8, Cad G8, IG-88 G8, Boba Dengar G8",0
"Xannax",1,0,57571,Wiggs,"Wedge G8, Biggs G8, CLS G8, Ezra G9, Leia",0
"Xannax",0,1,43577,Phoenix,"Hera G8, Kanan G8, Zeb G8, Sabine 6* G8, Chopper 5* G8",0
"Xannax",1,1,36848,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, Cassian 5* G8, K-2SO G8",0
"DArThMÂu",0,1,47234,BH,"Jango 5* G8, Cad G7, IG-88 5* G7, The Mandalorian 6* G7, Boba G8",0
"DArThMÂu",0,1,48516,Phoenix,"Hera G8, Kanan G8, Ezra G7, Zeb G7, Chopper 6* G7",0
"Berosin",1,0,77538,ShaakClones,"zShaak Ti G9, Rex Echo (501st), Fives zARC Trooper",1
"Berosin",0,1,55074,Phoenix,"Hera G8, Kanan G8, Ezra G8, Zeb G8, Chopper G8",1
"Mol Eliza",,,34027,Phasma,"Phasma 5* G8, FOE 5* G8, FOO 5* G8, KRU 5* G8, Kylo 5* G8",0
"Mol Eliza",1,1,33161,NS_Alt,"MT 5* G8, AV 5* G8, Talia 5* G8, Daka 5* G8, Spirit 5* G8",0
"Mol Eliza",1,1,67231,zEP,"EP zzzVader Tarkin G8, Dooku 5* G8, DN 5* G8",0
"Mol Eliza",1,0,33890,501st,"Rex 5* G8, Clone Sergeant 5* G9, Echo (501st) 5* G8, Fives 5* G8, Ahsoka 5* G8",0
"Mol Eliza",1,0,66846,Wiggs,"Wedge 5* G8, Biggs 5* G8, zzzCLS Han 5* Leia G9",0
"Mol Eliza",1,1,33713,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, Cassian 5* G8, K-2SO 5* G8",0
"Mol Eliza",0,1,32885,Phoenix,"Hera 5* G8, Kanan 5* G8, Ezra 5* G8, Sabine 5* G8, Chopper 5* G8",0
"Mol Eliza",0,1,76626,BS,"BS 6* G9, GMY JKA Old Ben, Ahsoka",0
"Mol Eliza",0,1,59048,Geonosians,"GBA 4* G8, Sun Fac G9, Geo Soldier, Geo Spy, Poggle G6",0
"Mol Eliza",1,1,62113,zEP,"EP G9, Vader 6* G9, Tarkin TFP Mara Jade, The Emperor's Hand 5* G8",0
"JediMasterKenobi",,,176167,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"JediMasterKenobi",,,132734,Phasma,"zPhasma zSith Trooper, FOSFTP zzKRU zKylo",1
"JediMasterKenobi",,,138019,SK,"zzEP zzMara Jade, The Emperor's Hand, zzStarkiller zJuhani zVisas",1
"JediMasterKenobi",,,160037,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"JediMasterKenobi",1,1,163574,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zHoldo zRH Finn",1
"JediMasterKenobi",1,1,100196,NS,"zzMT zzAV zDaka Zombie Spirit",1
"JediMasterKenobi",,,606421,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"JediMasterKenobi",1,0,145527,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"JediMasterKenobi",,,505058,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"JediMasterKenobi",,,307685,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"JediMasterKenobi",,,142360,JKL,"zzJKL zzzJKR zzHYoda zzOld Ben, Aayla",1
"JediMasterKenobi",,,425923,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"JediMasterKenobi",0,1,98816,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"JediMasterKenobi",0,1,124067,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"JediMasterKenobi",1,0,113268,Traya,"zzTraya zDN zSion Sith Empire Trooper, zzThrawn",1
"JediMasterKenobi",,,108172,Mon Mothma,"zzMon Mothma, Lando Biggs Jyn Wedge",1
"JediMasterKenobi",1,1,87083,Ewoks,"zChirpa Elder Paploo zWicket zLogray",1
"JediMasterKenobi",1,0,148148,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"JediMasterKenobi",1,1,93406,Carth,"zCarth Onasi, zMission zZaalbar zVandor Chewbacca, zCanderous",1
"JediMasterKenobi",0,1,152800,BH,"zzBossk zIG-88 zzJango zBoba zDengar",1
"JediMasterKenobi",1,0,137197,Troopers,"zVeers zStarck zzGideon zzPiett zDark Trooper",1
"JediMasterKenobi",1,0,127508,zMaul,"zDarth Maul, zSidious zDooku Sith Marauder, zNest",1
"JediMasterKenobi",0,1,81959,Phoenix,"Hera Kanan G9, Ezra Zeb Sabine",1
"JediMasterKenobi",,,76619,Iden Troopers,"zIden Versio 3* G6, Shoretrooper Snowtrooper Magma G8, DT",0
"JediMasterKenobi",1,0,68520,Jawas,"Nebit G8, Jawa Engineer G7, Jawa Scavenger G7, Jawa G8, Dathcha G9",0
"Zac",0,1,65779,Phoenix,"Hera G9, Kanan G9, Ezra G9, Zeb G9, Chopper G9",1
"Zac",1,1,40068,NS_Alt,"MT 4* G8, AV 6* G8, Zombie 5* G7, Talia 6* G8, Daka G7",0
"JohnnyDeuce",,,54100,Phasma,"Phasma 6* G8, FOE 5* G8, Sith Trooper 3* G8, zKRU Kylo 6* G8",0
"JohnnyDeuce",1,1,33161,NS_Alt,"MT 5* G8, AV 5* G8, Talia 5* G8, Daka 5* G8, Spirit 5* G8",0
"JohnnyDeuce",1,1,43847,zEP,"EP 5* Vader 6* Tarkin 5* G8, Dooku 5* G8, DN 5* G8",0
"JohnnyDeuce",1,0,33161,501st,"Rex 5* G8, Clone Sergeant 5* G8, Echo (501st) 5* G8, Fives 5* G8, Ahsoka 5* G8",0
"JohnnyDeuce",1,0,33161,Wiggs,"Wedge 5* G8, Biggs 5* G8, Leia 5* G8, Chirrut 5* G8, Baze 5* G8",0
"JohnnyDeuce",0,1,32885,Phoenix,"Hera 5* G8, Kanan 5* G8, Ezra 5* G8, Zeb 5* G8, Sabine 5* G8",0
