Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Mol Eliza,784756889,65,6,59,47845,Padme G0 0* JKA G11 Ahsoka G10 GK G0 0* GMY G10
Bobert,768494478,70,0,70,21034,Padme G0 0* JKA G7 5* Ahsoka G7 GK G0 0* GMY G6
Limubi,179681247,54,0,54,58732,Padme G0 0* JKA G12 Ahsoka G12 GK G0 0* GMY G12
Shady,672269869,68,0,68,23036,Padme G0 0* JKA G8 5* Ahsoka G8 GK G0 0* GMY G6
Shula Taka,185498168,68,1,67,26917,Padme G0 0* JKA G5 Ahsoka G10 GK G0 0* GMY G8
Berosin,281831893,75,2,73,18614,Padme G1 5* JKA G7 4* Ahsoka G8 GK G0 0* GMY G1
Versa,784373484,84,11,73,15817,Padme G0 0* JKA G8 5* Ahsoka G8 6* GK G0 0* GMY G1 5*
MasterOfCheese,312975262,80,13,67,23360,Padme G0 0* JKA G8 6* Ahsoka G8 GK G0 0* GMY G7 6*
DArThMÂu,499538531,69,0,69,23049,Padme G0 0* JKA G5 4* Ahsoka G8 GK G0 0* GMY G8
Echo Whisper,691715213,82,2,80,10861,Padme G0 0* JKA G3 1* Ahsoka G6 GK G0 0* GMY G1 5*
Thayn Borrallis,243215332,73,0,73,22814,Padme G0 0* JKA G8 5* Ahsoka G8 GK G0 0* GMY G1
masterjuju,127668129,63,3,60,43439,Padme G0 0* JKA G8 Ahsoka G10 GK G0 0* GMY G12
JohnnyDeuce,182438314,74,0,74,13154,Padme G0 0* JKA G8 5* Ahsoka G8 5* GK G0 0* GMY G0 0*
BigPoppaPump,351326866,73,0,73,14675,Padme G0 0* JKA G8 5* Ahsoka G8 5* GK G0 0* GMY G1 5*
Ghosty,595763532,67,5,62,36736,Padme G0 0* JKA G11 Ahsoka G9 GK G0 0* GMY G8 5*
Cupof,186682333,68,0,68,25168,Padme G0 0* JKA G7 6* Ahsoka G8 GK G0 0* GMY G7
OUR REPUBLIC,171143328,64,15,49,63963,Padme G9 5* JKA G12 Ahsoka G8 GK G0 0* GMY G12
Colby WanKenobi Jr,782358998,68,4,64,24872,Padme G0 0* JKA G8 5* Ahsoka G10 6* GK G0 0* GMY G8 5*
Skippykgt,269875868,56,0,56,61269,Padme G8 JKA G9 6* Ahsoka G7 GK G9 GMY G1 5*
Force User,974974266,60,12,48,56304,Padme G7 5* JKA G11 Ahsoka G12 GK G0 0* GMY G12
Kenobij,463413417,47,1,46,66554,Padme G9 6* JKA G12 Ahsoka G11 GK G0 0* GMY G12
Meatshield,551871365,73,0,73,16403,Padme G0 0* JKA G9 5* Ahsoka G8 5* GK G0 0* GMY G0 0*
Arne,578335228,69,7,62,36423,Padme G0 0* JKA G8 5* Ahsoka G12 GK G0 0* GMY G8
TesTer,968426252,82,5,77,12885,Padme G0 0* JKA G6 4* Ahsoka G7 6* GK G0 0* GMY G0 0*
Jinx Mol,582363912,70,10,60,43021,Padme G0 0* JKA G12 Ahsoka G12 GK G0 0* GMY G6 6*
Mol Eliza,256721999,73,0,73,19044,Padme G0 0* JKA G8 4* Ahsoka G9 GK G0 0* GMY G0 0*
Benjamín Maximiliano,421236918,70,1,69,41655,Padme G0 0* JKA G6 Ahsoka G6 GK G0 0* GMY G9
Irish Pitt,486673168,76,0,76,11208,Padme G0 0* JKA G4 5* Ahsoka G6 5* GK G0 0* GMY G4
TheLoneWanderer84,749817979,57,0,57,42954,Padme G0 0* JKA G11 5* Ahsoka G11 GK G0 0* GMY G11
BobOfDeath,917664227,61,1,60,36750,Padme G0 0* JKA G11 6* Ahsoka G10 GK G0 0* GMY G9 5*
CalonFTP,873746158,82,0,82,3501,Padme G0 0* JKA G4 3* Ahsoka G4 2* GK G0 0* GMY G0 0*
Relaysbtww,134245445,56,0,56,48811,Padme G0 0* JKA G11 5* Ahsoka G11 GK G0 0* GMY G12
Kwagmyer,873997293,64,1,63,32888,Padme G0 0* JKA G8 5* Ahsoka G9 GK G0 0* GMY G10
JediMasterKenobi,151953838,0,0,0,150324,Padme JKA Ahsoka GK GMY
PP,794133782,67,0,67,17190,Padme G0 0* JKA G8 5* Ahsoka G8 5* GK G0 0* GMY G7 5*
Aaron,329331261,49,1,48,67985,Padme G1 JKA G11 6* Ahsoka G12 GK G0 0* GMY
Senketsu,578872761,66,0,66,36545,Padme G0 0* JKA G1 1* Ahsoka G10 GK G1 5* GMY G12
Xannax,917694266,69,0,69,23783,Padme G0 0* JKA G8 5* Ahsoka G8 GK G0 0* GMY G5
