Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
StringBean,542541878,39,0,39,Phasma: Phasma G8 5* FOE G9 5* FOO G8 5* KRU G8 5* Kylo G8 5*
Meatshield,551871365,40,0,40,Phasma: Phasma G8 5* FOE G8 5* FOO G8 5* KRU G8 5* Kylo G8 5*
Relaysbtww,134245445,40,0,40,Phasma: Phasma G8 FOE G8 5* FOO G8 5* KRU G8 5* Kylo G8 5*
DArThMÂu,499538531,34,0,34,Troopers: Veers G6 5* Piett G6 3* Gideon G11 Dark Trooper G11 Range Trooper G12
Jinx Mol,582363912,49,0,49,Phasma: Phasma G10 FOTP G2 2* FOSFTP G1 2* FOST G8 5* Kylo G10 6*
Jinx Mol,582363912,47,1,46,Geonosians Omicron: GBA G9 6* Sun Fac G3 5* Geo Soldier G8 Geo Spy G8 Poggle G6 6*
Aaron,329331261,16,0,16,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Force User,974974266,22,0,22,Geonosians Omicron: GBA G10 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Kasa Khaar,554238894,36,0,36,Geonosians Omicron: GBA G10 6* Sun Fac G8 6* Geo Soldier G9 Geo Spy G9 6* Poggle G8
PP,794133782,40,0,40,Phasma: Phasma G8 5* FOE G8 5* FOO G8 5* KRU G8 5* Kylo G8 5*
PP,794133782,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Kwagmyer,873997293,50,0,50,Phasma: Phasma G8 FOTP G5 2* FOSFTP G1 4* FOST G8 5* Kylo G8
Kwagmyer,873997293,27,0,27,Geonosians Omicron: GBA G12 Sun Fac G9 Geo Soldier G12 Geo Spy G9 Poggle G11
GeneralJJ,898794162,31,0,31,Phasma: Phasma G7 FOTP G10 3* FOSFTP G7 6* FOST G11 4* Kylo R1
GeneralJJ,898794162,46,0,46,Geonosians Omicron: GBA G9 5* Sun Fac G5 5* Geo Soldier G8 5* Geo Spy G8 5* Poggle G4
MasterOfCheese,312975262,40,0,40,Phasma: Phasma G8 6* FOE G8 5* FOO G8 5* KRU G8 5* Kylo G8 5*
MasterOfCheese,312975262,37,1,36,Geonosians Omicron: GBA G9 Sun Fac G10 Geo Soldier G9 Geo Spy G8 Poggle G8
Arne,578335228,36,1,35,Phasma: Phasma G8 FOE G10 5* FOO G8 5* KRU G11 6* Kylo G8 5*
Tԋιɾԃ Bɾσƚԋҽɾ,617888982,13,0,13,padme: Padme GK JKA Ahsoka G12 C-3PO G7 5*
Tԋιɾԃ Bɾσƚԋҽɾ,617888982,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G10 Geo Soldier G11 Geo Spy Poggle G11
BobOfDeath,917664227,45,1,44,Phasma: Phasma G7 FOTP G8 5* FOSFTP G6 4* FOST G5 2* Kylo G10 5*
TheLoneWanderer84,749817979,40,0,40,Phasma: Phasma G8 5* FOE G8 5* FOO G8 5* KRU G8 5* Kylo G8 5*
TheLoneWanderer84,749817979,34,9,25,Geonosians Omicron: GBA G12 Sun Fac G8 Geo Soldier G12 Geo Spy G12 Poggle G11
Skippykgt,269875868,16,0,16,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Skippykgt,269875868,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Skippykgt,269875868,50,0,50,Phasma: Phasma G7 FOTP G1 4* FOSFTP G7 5* FOST G7 3* Kylo G8 5*
Skippykgt,269875868,39,0,39,Grievous Omicron: GG G9 B2 G7 B1 G9 6* MagnaGuard G8 Droideka G8
Skippykgt,269875868,44,0,44,Troopers: Veers G7 6* Piett Starck G6 Dark Trooper G6 3* Range Trooper G1 2*
Hanz Tano,291814758,45,0,45,Phasma: Phasma G7 FOE G8 FOO G6 KRU G7 Kylo G7
Szorlyss,796128411,40,0,40,Phasma: Phasma G8 5* FOE G8 5* FOO G8 5* KRU G8 5* Kylo G8 5*
OUR REPUBLIC,171143328,46,0,46,Grievous Omicron: GG G11 6* B2 G10 B1 G1 2* MagnaGuard G11 6* Droideka G1 2*
OUR REPUBLIC,171143328,42,0,42,Geonosians Omicron: GBA G9 5* Sun Fac G7 Geo Soldier G7 6* Geo Spy G7 5* Poggle G8
Berosin,281831893,25,0,25,Geonosians Omicron: GBA G12 Sun Fac G10 Geo Soldier G11 Geo Spy G11 Poggle G11
Mol Eliza,325466518,44,0,44,Phasma: Phasma G8 FOTP G9 6* FOSFTP G9 FOST G1 2* Kylo G9
JediMasterKenobi,151953838,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
JediMasterKenobi,151953838,0,0,0,padme: Padme GK JKA Ahsoka CAT
JediMasterKenobi,151953838,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
JediMasterKenobi,151953838,0,0,0,Malevolence: Malevolence Hyena Bomber Vulture Droid Sun Fac SF Soldier SF Spy SF
JediMasterKenobi,151953838,16,0,16,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
JediMasterKenobi,151953838,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
JediMasterKenobi,151953838,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
JediMasterKenobi,151953838,8,0,8,Grievous Omicron: GG B2 G12 B1 MagnaGuard Droideka G12
JediMasterKenobi,151953838,8,0,8,Troopers: Veers Piett Starck Dark Trooper Range Trooper G8 6*
TesTer,968426252,38,0,38,Troopers: Veers G10 Piett G6 5* Gideon G9 Dark Trooper G9 5* Range Trooper G8 5*
masterjuju,127668129,35,0,35,Phasma: Phasma G8 FOE G10 FOO G10 KRU G9 Kylo G8
masterjuju,127668129,29,0,29,Geonosians Omicron: GBA G12 Sun Fac G9 Geo Soldier G11 Geo Spy G9 Poggle G10
Ben,462878161,29,0,29,Phasma: Phasma G9 FOTP G12 FOSFTP G9 6* FOST G9 6* Kylo G12
Ben,462878161,48,0,48,Geonosians Omicron: GBA G1 4* Sun Fac G7 6* Geo Soldier G8 5* Geo Spy G8 5* Poggle G8 5*
Bobert,768494478,36,1,35,Phasma: Phasma G7 FOTP G10 FOSFTP G9 5* FOST G7 3* Kylo G12
Bobert,768494478,49,0,49,padme: Padme G2 6* GK G5 5* JKA G7 5* Ahsoka G7 C-3PO G10
Bobert,768494478,37,1,36,Geonosians Omicron: GBA G9 6* Sun Fac G8 Geo Soldier G10 Geo Spy G8 Poggle G9
Bobert,768494478,26,1,25,CLS: CLS G12 Han G11 Chewbacca G12 Chewpio G11 4* R2-D2 G9
Sting,641185348,49,0,49,Phasma: Phasma G10 FOTP G9 FOSFTP G1 2* FOST G2 2* Kylo G9
Sting,641185348,25,1,24,Geonosians Omicron: GBA G11 Sun Fac G11 Geo Soldier G11 Geo Spy G12 Poggle G11
TritiumExitium,837564524,41,0,41,Phasma: Phasma G8 6* FOTP G8 4* FOSFTP G7 4* FOST G8 6* Kylo G8 5*
Tam Elyod,569938181,32,0,32,CLS: CLS G12 Han G9 Chewbacca G9 Chewpio G8 2* R2-D2 G10
CPTBaerchen,758913198,40,0,40,Phasma: Phasma G8 5* FOE G8 5* FOO G8 5* KRU G8 Kylo G8 5*
Shula Taka,185498168,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Zac,291513384,43,0,43,Geonosians Omicron: GBA G8 5* Sun Fac G7 Geo Soldier G8 4* Geo Spy G7 5* Poggle G7
Sioncent,885616463,30,0,30,Geonosians Omicron: GBA G11 Sun Fac G9 Geo Soldier G11 Geo Spy G9 Poggle G10
Kruineph Pepington,973751548,8,0,8,padme: Padme GK JKA Ahsoka G12 C-3PO G12
Kruineph Pepington,973751548,1,0,1,Phasma: Phasma FOTP FOSFTP FOST Kylo
Kruineph Pepington,973751548,17,0,17,Grievous Omicron: GG G12 B2 G12 B1 MagnaGuard G11 Droideka G12
Kruineph Pepington,973751548,1,0,1,Negotiator: Negotiator 5* BTL-B Y-wing 3* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Kruineph Pepington,973751548,24,0,24,Geonosians Omicron: GBA G10 Sun Fac G11 Geo Soldier G12 Geo Spy G11 Poggle G12
Kruineph Pepington,973751548,18,0,18,CLS: CLS Han G12 Chewbacca G12 Chewpio G10 6* R2-D2 G12
Kruineph Pepington,973751548,26,0,26,GAS: GAS G11 6* Rex G11 Echo (501st) G11 Fives G11 ARC Trooper G10
Beyonder,346469883,42,0,42,Phasma: Phasma G8 FOTP G9 4* FOSFTP G9 FOST G5 5* Kylo G7
Will Gallivan,498213445,24,4,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Will Gallivan,498213445,39,0,39,Phasma: Phasma G8 6* FOE G8 5* FOO G9 5* KRU G8 Kylo G8 5*
CalonBundle,873746158,37,0,37,Phasma: Phasma G8 FOTP G9 6* FOSFTP G9 FOST G8 Kylo G9 5*
CalonBundle,873746158,46,1,45,Geonosians Omicron: GBA G7 4* Sun Fac G8 Geo Soldier G7 Geo Spy G8 Poggle G5
CalonBundle,873746158,43,0,43,Troopers: Veers G8 6* Piett G8 4* Gideon G7 Dark Trooper G8 5* Range Trooper G6 4*
Tak Varen,866389232,39,2,37,Troopers: Veers G9 6* Piett G9 5* Gideon G8 Dark Trooper G9 5* Range Trooper G8 5*
