Player,Offense,Defense,GP,Name,Squad,Viable
"Amaterasu",,,186703,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Amaterasu",,,182524,LV,"zzzzzzLord Vader, zzPiett zzzMaul zRG zzzVader",1
"Amaterasu",,,175898,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Amaterasu",,,592136,Executor,"Executor HT RC Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Amaterasu",1,0,148772,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Amaterasu",,,120505,Grievous Omicron,"zzGG zB2 zB1 MagnaGuard zDroideka",1
"Amaterasu",,,494759,Negotiator,"Negotiator BTL-B Y-wing, Anakin's Eta-2, Rex's ARC-170, Umbaran SF, Ahsoka's SF, Plo's SF, Clone Sergeant's ARC-170",1
"Amaterasu",,,308503,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Amaterasu",,,137607,JKL,"zzJKL zzzJKR zHYoda Old Ben, Aayla",1
"Amaterasu",,,396520,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Amaterasu",1,0,142036,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"Amaterasu",,,119836,Disintegration,"Aurra zGreef zBoba zzBossk zThe Mandalorian",1
"Amaterasu",1,0,147267,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Amaterasu",1,1,82575,Ewoks,"zChirpa Elder Paploo Teebo G9, Scout",1
"Amaterasu",1,1,82196,Carth,"zCarth Onasi, zMission zZaalbar Juhani G8, Canderous",1
"Amaterasu",1,0,114106,Troopers,"zVeers zStarck zGideon Range Trooper, zDark Trooper",1
"Amaterasu",0,1,64655,Phoenix,"Hera G8, Ezra G8, Kanan G8, Sabine G9, Zeb G8",1
"Amaterasu",1,1,73294,Rogue1,"zJyn G8, Chirrut G8, Baze G8, zCassian G8, K-2SO G9",1
"Amaterasu",1,0,25875,NestSolo (Counter),"zNest",1
"Amaterasu",,,45774,Phasma,"Phasma G8, FOTP G1, FOSFTP G1, FOST 5* G8, Kylo G8",0
"Amaterasu",0,1,99391,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Amaterasu",1,1,99021,JTR,"JTR Scav Rey G9, BB-8 G9, zR2-D2 Finn G9",0
"Amaterasu",1,1,71664,NS,"MT G8, zAV Daka G9, Zombie G8, Spirit G8",0
"Amaterasu",,,108986,Mon Mothma,"zzMon Mothma, Biggs Lando Wedge zKyle Katarn",0
"Amaterasu",,,72791,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper G8, Magma G9, DT G8",0
"Amaterasu",0,1,136485,BH,"zJango Cad zIG-88 Dengar zZam",0
"Amaterasu",,,119642,Bad Batch,"zHunter zEcho zOmega G8, zTech zWrecker",0
"Coop",1,0,143639,CLS,"zzzCLS zHan zzChewbacca zC-3PO zChewpio",1
"Coop",0,1,96261,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Coop",,,356699,Negotiator,"Negotiator 5* HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Plo's SF, Rex's ARC-170",1
"Coop",,,387304,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Coop",,,102622,Mon Mothma,"Mon Mothma, Biggs Lando Cara Dune, Wedge",1
"Coop",1,1,109888,GAS,"zzzzGAS Rex Echo (501st), Fives zAhsoka",1
"Coop",1,1,110986,Revan,"zzzJKR BS GMY zJolee zGK",1
"Coop",1,1,87239,Ewoks,"zChirpa G9, Elder Paploo zWicket zLogray",1
"Coop",1,1,97027,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Coop",0,1,93091,BH,"zBossk The Mandalorian, Boba Greef Jango",1
"Coop",0,1,74314,Phoenix,"Hera G9, Ezra Kanan G9, Zeb G9, Chopper",1
