Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Szerahk",958343253,2486499,1569785,916714,171,112,127,232,888673,681112,38,1,39,0,140,3,14,36,49,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,7,4
"PJMaster",377989166,2296028,1380373,915655,150,226,136,243,820397,559300,37,2,39,0,115,2,12,36,49,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3
"MrTomChase24",674818227,3461984,1985428,1476556,134,-166,97,240,985977,998775,47,5,97,1,166,13,20,44,61,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9,7,5
"Mitsuki",844775351,3343390,1946400,1396990,139,-67,123,238,1014333,931391,45,4,109,1,161,17,22,36,54,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,10,7,5
"Pickle rick",266133985,2624677,1676652,948025,176,-33,67,228,888392,788260,40,3,25,0,103,2,10,45,64,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,5
"mar5hmn9",294825966,2182250,1333864,848386,157,-4,80,142,716203,617661,20,1,11,0,94,2,2,27,32,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3
"Jak Frey",692973843,2271298,1432392,838906,170,-122,27,161,725845,703886,15,0,18,0,125,1,7,26,42,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3
"GeneralSkywalker",628775779,1969414,1169119,800295,146,-374,27,103,520395,648724,17,0,12,0,69,1,3,15,30,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2
"esmith1153",736978576,2557032,1466065,1090967,134,-390,100,230,646521,818868,43,4,80,1,103,12,16,27,45,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,4,1
"Citizen Juicer",562445426,4078051,2450479,1627572,150,103,187,193,1381827,1067976,55,2,40,0,167,1,11,60,91,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,10
"Orca",527193378,4345167,2327352,2017815,115,-317,250,281,1068358,1258318,51,6,192,1,156,31,36,48,69,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,11,8,4
"DumbNugget",755976984,2392167,1398207,993960,140,142,61,130,801619,595912,16,1,16,0,78,2,4,24,38,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3
"Egghead",654442979,3161414,1944222,1217192,159,104,100,137,1096508,847263,39,4,27,0,138,2,7,31,56,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,7
"Smashburger",776444483,2336684,1429405,907279,157,173,141,116,830746,597983,24,1,26,0,104,1,7,15,40,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4
"Zephyr",297528578,3358213,2021679,1336534,151,-183,114,235,995934,1025745,49,3,86,0,138,10,18,44,71,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,10,6,6
"Δ Vitiaté Δ",634879281,10223608,6077195,4146413,146,-21,683,588,3220088,2824532,260,9,1045,7,295,156,187,206,219,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,9,10
"SleepyKiIIer666",456111931,3156155,1821721,1334434,136,-414,183,206,792664,1028381,42,5,76,1,110,12,15,35,57,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,8,5,5
"Forsaken",757795424,3339338,1969098,1370240,143,16,40,112,1067408,901014,21,1,8,0,119,0,4,32,59,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,7,5
"Amaterasu",935596991,6542165,3955010,2587155,152,-68,330,417,2051487,1884716,133,7,470,3,231,74,81,98,115,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,20,6,8
"Visigoth83",491397777,4080643,2415462,1665181,145,36,43,127,1321547,1093239,39,1,20,0,192,2,5,43,69,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,7,7
