Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Δ Vitiaté Δ,634879281,4,0,4,L5 Jabba: Jabba Boushh (Leia Organa) R5 Krrsantan Skiff Guard (Lando Calrissian) R5 Boba
Δ Vitiaté Δ,634879281,5,0,5,L5 BAM: The Mandalorian (Beskar Armor) Jango Cad R5 The Mandalorian R5 Greedo R6
Δ Vitiaté Δ,634879281,4,0,4,L2 Maul: Maul Sabine G12 Bo-Katan Canderous G12 Armorer
Δ Vitiaté Δ,634879281,14,0,14,L1 Jawas: Nebit G8 Jawa Engineer G9 Jawa Scavenger G8 Dathcha G9 Jawa
Δ Vitiaté Δ,634879281,1,0,1,L0 Tuskens: Tusken Chieftain G7 4* Tusken Raider Tusken Shaman Tusken Warrior URoRRuR'R'R
MrTomChase24,674818227,1,0,1,L0 Tuskens: Tusken Chieftain 3* Tusken Raider G7 Tusken Shaman Tusken Warrior URoRRuR'R'R 6*
Megaroutte,899878853,4,0,4,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G8 6*
OnyXavier,637663384,10,0,10,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango G11 Cad G11 The Mandalorian Greedo G8
Obi Shinobi,399864143,8,0,8,L1 BAM: The Mandalorian (Beskar Armor) Jango G11 Cad The Mandalorian G9 Greedo G8 5*
Coop,972228286,1,0,1,L0 Jawas: Nebit Jawa Engineer Jawa Scavenger Dathcha G7 Jawa
Coop,972228286,3,0,3,L0 BAM: The Mandalorian (Beskar Armor) G7 Jango Cad The Mandalorian Greedo G6
Kate,483591584,3,0,3,L0 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G5
Xander,762457673,3,0,3,L1 Jawas: Nebit Jawa Engineer Jawa Scavenger G11 Dathcha G11 Jawa G11
Xander,762457673,10,0,10,L1 BAM: The Mandalorian (Beskar Armor) G10 Jango Cad G8 The Mandalorian Greedo G8
Poppa Nugget,947679913,3,0,3,L1 Jawas: Nebit Jawa Engineer G11 Jawa Scavenger Dathcha G11 Jawa G11
Poppa Nugget,947679913,13,0,13,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango G11 Cad G8 The Mandalorian Greedo G8
Orca,527193378,6,0,6,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G10 Greedo G8
WilsonJason,327282478,11,0,11,L1 BAM: The Mandalorian (Beskar Armor) G9 Jango G11 Cad G11 The Mandalorian G10 Greedo G8
Blackwing,654686582,8,0,8,L1 BAM: The Mandalorian (Beskar Armor) G9 Jango Cad G11 The Mandalorian G11 Greedo G9
Citizen Juicer,562445426,4,0,4,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger G7 Dathcha G6 Jawa 6*
Chantelle Vetacious,842688545,2,0,2,L1 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G10 Embo
Chantelle Vetacious,842688545,5,0,5,L1 Jawas: Nebit G11 Jawa Engineer G11 Jawa Scavenger G11 Dathcha G11 Jawa G11
Chantelle Vetacious,842688545,13,0,13,L1 Tuskens: Tusken Chieftain G8 3* Tusken Raider Tusken Shaman G9 Tusken Warrior G8 3* URoRRuR'R'R G10 6*
Mitsuki,844775351,1,0,1,L0 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian Greedo G7
Visigoth83,491397777,9,0,9,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango G11 Cad G8 The Mandalorian Embo
Visigoth83,491397777,5,0,5,L0 Jawas: Nebit G7 Jawa Engineer G7 Jawa Scavenger G7 Dathcha G7 Jawa G7 5*
JadenRaven,329564557,1,0,1,L0 Jawas: Nebit G7 Jawa Engineer Jawa Scavenger Dathcha Jawa
JadenRaven,329564557,5,0,5,L0 Tuskens: Tusken Chieftain G7 3* Tusken Raider G7 Tusken Shaman G7 Tusken Warrior G7 3* URoRRuR'R'R G7 5*
Forsaken,757795424,6,0,6,L1 BAM: The Mandalorian (Beskar Armor) G8 Jango Cad G11 6* The Mandalorian Greedo G11
Amaterasu,935596991,2,0,2,L2 BAM: The Mandalorian (Beskar Armor) Jango Cad The Mandalorian G12 Embo
Amaterasu,935596991,5,0,5,L1 Maul: Maul Sabine G9 Bo-Katan Canderous Armorer G10
Amaterasu,935596991,2,0,2,L0 Tuskens: Tusken Chieftain 3* Tusken Raider Tusken Shaman G7 Tusken Warrior G7 4* URoRRuR'R'R
MINI SgtGingerbeard,211844511,5,0,5,L0 BAM: The Mandalorian (Beskar Armor) Jango G3 Cad The Mandalorian Greedo
