Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
esmith1153,736978576,9,9,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Kate,483591584,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
theLeskiss,626646537,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Coop,972228286,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Xander,762457673,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Xander,762457673,0,0,0,JKL + JML (6%): JKL JMLS HYoda JKR Old Ben
Orca,527193378,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Orca,527193378,9,9,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Orca,527193378,14,14,0,GG (2%): GG B1 Droideka B2 IG-88
BenSwoloOnDBOL,871833824,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
BenSwoloOnDBOL,871833824,15,15,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
MINI SgtGingerbeard,211844511,15,15,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
MINI SgtGingerbeard,211844511,10,10,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
MINI SgtGingerbeard,211844511,0,0,0,SEE P1 5%: SEE Malak Vader Sith Marauder DR
Chantelle Vetacious,842688545,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Chantelle Vetacious,842688545,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Chantelle Vetacious,842688545,0,0,0,SEE P1 5%: SEE Malak Vader Sith Marauder DR
Chantelle Vetacious,842688545,0,0,0,Seps (1%): Dooku Jango GG B2 MagnaGuard
Chantelle Vetacious,842688545,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Chantelle Vetacious,842688545,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Chantelle Vetacious,842688545,0,0,0,JKL + JML (6%): JKL JMLS JKR BS Old Ben
Mitsuki,844775351,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Mitsuki,844775351,15,15,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
WilsonJason,327282478,38,38,0,Padme 3%: Padme JKA GK Ahsoka GMY
WilsonJason,327282478,15,15,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
MrTomChase24,674818227,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
TheMeanDean,579355186,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Δ Vitiaté Δ,634879281,0,0,0,SLKR+Wat (9%): SL Kylo Hux Wat Tambor KRU Thrawn
Δ Vitiaté Δ,634879281,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Δ Vitiaté Δ,634879281,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Δ Vitiaté Δ,634879281,0,0,0,Seps (1%): Dooku Jango GG Sun Fac Nute
Δ Vitiaté Δ,634879281,0,0,0,JKL + JML (6%): JKL JMLS Mace Ezra Old Ben
Δ Vitiaté Δ,634879281,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Δ Vitiaté Δ,634879281,0,0,0,JKR + Rey (7%): JKR Rey RH Finn RH Poe GAS
Δ Vitiaté Δ,634879281,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Sith Trooper Darth Talon
Δ Vitiaté Δ,634879281,0,0,0,Imperial Troopers 5%: Veers Piett Gideon Range Trooper Dark Trooper
Yabba,439127848,6,6,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Amaterasu,935596991,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Amaterasu,935596991,0,0,0,SEE P1 5%: SEE Malak EP Sith Marauder Darth Malgus
Amaterasu,935596991,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Amaterasu,935596991,14,14,0,JMK (8%): JMK GK Ahsoka CAT GAS
Amaterasu,935596991,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Amaterasu,935596991,0,0,0,Seps (1%): Dooku Jango GG B1 GBA
Amaterasu,935596991,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee Old Ben
SleepyKiIIer666,456111931,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
GeneralBraxer'sio,773582248,47,10,37,p3: Imperial Troopers 5%: Veers G11 5* Piett G10 4* Starck G12 Range Trooper G11 5* Dark Trooper G9
MINI Leskiss,112892133,43,29,14,p4: Rebels (2%): CLS Chewbacca Han Chewpio G12 R2-D2 G10
Shayna Vetacious,391637392,28,22,6,p3: Imperial Troopers 5%: Veers Piett Gideon R2 Starck R3 Dark Trooper R4
Peu Trid,631967535,37,27,10,p1: Padme 3%: Padme R3 JKA GK G12 Ahsoka GMY R3
WastedNugget,478123696,49,4,45,p1: Padme 3%: Padme G9 JKA G10 GK G8 6* Ahsoka G10 R2-D2 G8
Szerahk,958343253,41,32,9,p4: Rebels (2%): CLS R4 Chewbacca Han Chewpio G12 C-3PO R3
Orca,527193378,13,7,6,p1: Padme 3%: Padme JKA GK Ahsoka C-3PO G12
Orca,527193378,7,0,7,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G11
Yabba,439127848,10,1,9,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G9
Kate,483591584,13,7,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
Mitsuki,844775351,24,18,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
Obi Shinobi,399864143,31,9,22,p4: Rebels (2%): CLS Chewbacca G12 Han Chewpio G10 C-3PO G10
TheMeanDean,579355186,18,8,10,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G8
esmith1153,736978576,11,0,11,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G7
Forsaken,757795424,29,0,29,p4: Rebels (2%): CLS R3 Chewbacca G12 Han G11 Chewpio G11 6* C-3PO G11
Forsaken,757795424,34,2,32,p1: Padme 3%: Padme G8 6* JKA G11 GK R3 Ahsoka G11 GMY G12
Zephyr,297528578,24,14,10,p4: GG (2%): GG B1 R3 Droideka G12 B2 R3 MagnaGuard
Pickle rick,266133985,32,2,30,p4: Rebels (2%): CLS G12 Chewbacca G12 Han G12 Chewpio G12 C-3PO G12
Pickle rick,266133985,33,1,32,p1: Padme 3%: Padme G12 JKA G12 GK G12 Ahsoka G10 C-3PO G12
Pickle rick,266133985,37,7,30,p3: Imperial Troopers 5%: Veers G12 Piett G12 Starck G12 Range Trooper G12 Dark Trooper G12
Amaterasu,935596991,10,0,10,p3: Imperial Troopers 5%: Veers R3 Piett Gideon G12 Starck R3 Dark Trooper
PJMaster,377989166,12,4,8,p4: Rebels (2%): CLS Chewbacca R3 Han R3 Chewpio R3 C-3PO R3
PJMaster,377989166,14,0,14,p3: Shaak 6%: Shaak Ti G12 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
PJMaster,377989166,15,9,6,p1: Padme 3%: Padme R3 JKA GK Ahsoka R3 C-3PO R3
JadenRaven,329564557,8,6,2,p4: Rebels (2%): CLS R3 Chewbacca Han Chewpio R2-D2
Desimo,642239495,43,0,43,p1: Padme 3%: Padme G7 JKA G10 GK G8 Ahsoka G11 GMY G11
Desimo,642239495,40,0,40,p4: Seps (1%): Dooku G7 Jango G7 Geo Spy G12 Sun Fac G12 GBA G12
MrTomChase24,674818227,19,13,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
MrTomChase24,674818227,8,4,4,p1: Padme 3%: Padme JKA GK Ahsoka R3 C-3PO R3
Smashburger,776444483,43,22,21,p1: Padme 3%: Padme G12 JKA R3 GK Ahsoka G11 GMY G12
Smashburger,776444483,24,1,23,p4: Rebels (2%): CLS Chewbacca G11 Han R3 Chewpio G10 5* C-3PO G12
Visigoth83,491397777,44,39,5,p4: Rebels (2%): CLS Chewbacca R3 Han Chewpio R4 C-3PO R3
