Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Xander,762457673,7,0,7,Dooku+Asajj: Dooku G9 AV G8
Xander,762457673,6,0,6,Geos: GBA G10 Poggle G11 Geo Soldier G11 Sun Fac G11 Geo Spy G11
Mitsuki,844775351,9,9,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mitsuki,844775351,20,0,20,Dooku+Asajj: Dooku G3 6* AV G1
Galeforce,284743495,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Galeforce,284743495,11,7,4,Geos: GBA G11 Poggle G11 Geo Soldier Sun Fac G11 Geo Spy G11
TheMeanDean,579355186,20,6,14,Troopers: Veers G10 Piett G8 4* Starck G9 Dark Trooper G9 Range Trooper G10 6*
TheMeanDean,579355186,8,1,7,Dooku+Asajj: Dooku G8 6* AV G9
TheMeanDean,579355186,17,15,2,Geos: GBA Poggle G11 Geo Soldier Sun Fac G11 Geo Spy
Prolox150,784616867,16,0,16,Troopers: Veers G10 6* Piett G8 4* Gideon G9 5* Dark Trooper G9 6* Range Trooper G8 5*
Prolox150,784616867,17,0,17,Grievous: GG B2 G7 6* B1 G8 3* Nute G9 MagnaGuard G7
Prolox150,784616867,8,1,7,Dooku+Asajj: Dooku G9 6* AV G8 5*
Prolox150,784616867,17,1,16,Geos: GBA G8 6* Poggle G10 Geo Soldier G11 Sun Fac G7 Geo Spy G8
SleepyKiIIer666,456111931,15,8,7,Troopers: Veers Piett G10 Gideon Dark Trooper G11 Range Trooper G8
SleepyKiIIer666,456111931,20,8,12,Dooku+Asajj: Dooku G5 AV G7 5*
SleepyKiIIer666,456111931,17,11,6,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G8 Geo Spy
theLeskiss,626646537,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
theLeskiss,626646537,11,0,11,Dooku+Asajj: Dooku AV G1
PJMaster,377989166,10,10,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
PJMaster,377989166,16,4,12,Dooku+Asajj: Dooku G1 4* AV G11
Kate,483591584,19,19,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Kate,483591584,20,0,20,Dooku+Asajj: Dooku G3 3* AV G1 3*
WastedNugget,478123696,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
WastedNugget,478123696,17,0,17,Geos: GBA G9 Poggle G7 Geo Soldier G9 Sun Fac G8 Geo Spy G10
Egghead,654442979,6,2,4,Dooku+Asajj: Dooku G9 AV G11
Egghead,654442979,6,2,4,Geos: GBA Poggle G10 Geo Soldier G11 Sun Fac G11 Geo Spy
ΞL ΞS LΛ LΞGΞNDΛ,993359413,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
BenSwoloOnDBOL,871833824,8,0,8,Dooku+Asajj: Dooku G8 6* AV G8 6*
BenSwoloOnDBOL,871833824,13,12,1,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy
Darkside Dad,551997198,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Darkside Dad,551997198,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Darkside Dad,551997198,8,0,8,Dooku+Asajj: Dooku G9 AV G7
Peu Trid,631967535,17,17,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Peu Trid,631967535,11,7,4,Dooku+Asajj: Dooku AV G8 4*
Pickle rick,266133985,20,20,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Pickle rick,266133985,11,0,11,Dooku+Asajj: Dooku G8 AV G5 3*
Pickle rick,266133985,6,2,4,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G11 Geo Spy G11
Poppa Nugget,947679913,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8
Poppa Nugget,947679913,14,5,9,Geos: GBA Poggle G11 Geo Soldier G9 Sun Fac G8 Geo Spy G11
MINI SgtGingerbeard,211844511,3,3,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MINI SgtGingerbeard,211844511,20,14,6,Troopers: Veers Piett Starck Dark Trooper G9 Range Trooper G9
MINI SgtGingerbeard,211844511,13,12,1,Dooku+Asajj: Dooku AV G11
Desimo,642239495,17,5,12,Dooku+Asajj: Dooku G7 6* AV G5 4*
Desimo,642239495,14,5,9,Geos: GBA G11 Poggle G11 Geo Soldier G11 Sun Fac G9 Geo Spy G9
Visigoth83,491397777,17,17,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Visigoth83,491397777,8,0,8,Dooku+Asajj: Dooku G8 AV G8
Visigoth83,491397777,6,3,3,Geos: GBA G11 Poggle G11 Geo Soldier Sun Fac G11 Geo Spy
Megaroutte,899878853,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Megaroutte,899878853,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Bills Mafia,441664365,20,0,20,Troopers: Veers G9 Piett G9 Gideon Dark Trooper G9 Range Trooper G1
Bills Mafia,441664365,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8
Bills Mafia,441664365,19,9,10,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G7 Geo Spy G9
Barraza,479721254,12,4,8,Dooku+Asajj: Dooku G8 6* AV G8
Barraza,479721254,14,8,6,Geos: GBA G11 Poggle G11 Geo Soldier G11 Sun Fac G10 Geo Spy G11
Aeceythar,842688545,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Aeceythar,842688545,0,0,0,Dooku+Asajj: Dooku AV
Aeceythar,842688545,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Aeceythar,842688545,6,2,4,Troopers: Veers Piett Gideon Dark Trooper G11 Range Trooper G9
Orca,527193378,16,16,0,Grievous: GG B2 B1 Droideka MagnaGuard
Orca,527193378,19,19,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Orca,527193378,16,7,9,Troopers: Veers G11 Piett Gideon G9 Dark Trooper G11 Range Trooper G8
Orca,527193378,18,14,4,Dooku+Asajj: Dooku G8 AV
Shayna Vetacious,391637392,7,7,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Shayna Vetacious,391637392,12,12,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Shayna Vetacious,391637392,20,9,11,Dooku+Asajj: Dooku AV G1
JadenRaven,329564557,8,8,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JadenRaven,329564557,9,2,7,Troopers: Veers G11 Piett G9 6* Gideon G11 Dark Trooper G11 6* Range Trooper G11
JadenRaven,329564557,11,0,11,Dooku+Asajj: Dooku G1 5* AV
Citizen Juicer,562445426,14,14,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Citizen Juicer,562445426,10,6,4,Dooku+Asajj: Dooku G8 6* AV
Amaterasu,935596991,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Amaterasu,935596991,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Amaterasu,935596991,0,0,0,Dooku+Asajj: Dooku AV
Amaterasu,935596991,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
esmith1153,736978576,14,14,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
esmith1153,736978576,18,13,5,Troopers: Veers G11 6* Piett G11 5* Gideon G11 Dark Trooper G11 5* Range Trooper G11 6*
Mol Ace,473196354,7,1,6,Dooku+Asajj: Dooku G10 AV G8
Mol Ace,473196354,14,13,1,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy G11
Jak Frey,692973843,20,20,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jak Frey,692973843,19,9,10,Grievous: GG B2 G9 B1 G9 Nute G11 MagnaGuard G9
Jak Frey,692973843,4,1,3,Dooku+Asajj: Dooku G11 AV G10
OnyXavier,637663384,12,12,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
OnyXavier,637663384,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Jotar0Kujoh,973886778,1,1,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Jotar0Kujoh,973886778,10,0,10,Dooku+Asajj: Dooku G8 6* AV G6
MrTomChase24,674818227,14,14,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MrTomChase24,674818227,17,3,14,Troopers: Veers G11 Piett G8 Gideon G9 Dark Trooper G9 Range Trooper G9
MINI Leskiss,112892133,12,1,11,Troopers: Veers G9 Piett G9 Gideon G11 Dark Trooper Range Trooper G8
MINI Leskiss,112892133,17,0,17,Dooku+Asajj: Dooku G1 4* AV G6 3*
MINI Leskiss,112892133,19,4,15,Geos: GBA G9 Poggle G11 Geo Soldier G8 Sun Fac G9 Geo Spy G8
Regennith,492412921,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8
Regennith,492412921,13,8,5,Geos: GBA Poggle G10 Geo Soldier G11 Sun Fac G10 Geo Spy
DumbNugget,755976984,8,0,8,Dooku+Asajj: Dooku G8 6* AV G8
DumbNugget,755976984,9,7,2,Geos: GBA Poggle Geo Soldier G11 6* Sun Fac Geo Spy G11
Forsaken,757795424,7,1,6,Dooku+Asajj: Dooku G8 AV G10 6*
Forsaken,757795424,3,1,2,Geos: GBA Poggle G11 Geo Soldier Sun Fac Geo Spy G11
Coop,972228286,3,3,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Coop,972228286,19,16,3,Grievous: GG G9 B2 B1 Droideka MagnaGuard
Coop,972228286,5,1,4,Dooku+Asajj: Dooku G8 AV
WilsonJason,327282478,19,3,16,Grievous: GG G9 B2 G9 B1 G9 Nute G9 MagnaGuard G8
WilsonJason,327282478,18,4,14,Troopers: Veers G10 Piett G9 Starck G9 Dark Trooper G9 Range Trooper G9
WilsonJason,327282478,1,0,1,Dooku+Asajj: Dooku G11 AV
WilsonJason,327282478,16,14,2,Geos: GBA G11 Poggle Geo Soldier Sun Fac G11 Geo Spy
Blackwing,654686582,12,0,12,Dooku+Asajj: Dooku G11 AV G1 5*
Blackwing,654686582,15,1,14,Geos: GBA G9 Poggle G10 Geo Soldier G11 Sun Fac G8 Geo Spy G8
Smashburger,776444483,10,1,9,Dooku+Asajj: Dooku G8 AV G7
Smashburger,776444483,17,0,17,Geos: GBA G10 Poggle G10 Geo Soldier G8 Sun Fac G7 Geo Spy G8
GeneralSkywalker,628775779,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8
GeneralSkywalker,628775779,19,4,15,Geos: GBA G9 6* Poggle G9 Geo Soldier G11 Sun Fac G7 Geo Spy G9
nate,723479542,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 6*
Zephyr,297528578,2,0,2,Troopers: Veers Piett Gideon G11 Dark Trooper G11 Range Trooper
Zephyr,297528578,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zephyr,297528578,10,4,6,Grievous: GG B2 G10 B1 G11 Droideka G9 MagnaGuard
Zephyr,297528578,10,0,10,Dooku+Asajj: Dooku G8 AV G6
Szerahk,958343253,4,4,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Szerahk,958343253,20,0,20,Dooku+Asajj: Dooku G3 6* AV G1
Yabba,439127848,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8 5*
Yabba,439127848,16,10,6,Geos: GBA G11 Poggle Geo Soldier G11 Sun Fac G10 Geo Spy G10
GeneralK3nobi,485165597,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
GeneralK3nobi,485165597,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
GeneralK3nobi,485165597,0,0,0,Dooku+Asajj: Dooku AV
GeneralK3nobi,485165597,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
mar5hmn9,294825966,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
mar5hmn9,294825966,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8
