Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Coop,972228286,55,39,16,Jedi Master Luke Skywalker: Old Ben R1 JTR R2 C-3PO Mon Mothma R1 Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing 6* Leia R1 HYoda Wedge Biggs R2 Lando
Kate,483591584,58,49,9,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP R2 Phasma Hux R3 FOSFTP Sith Trooper Vet Han EP R1 Finalizer 0*
JadenRaven,329564557,59,13,46,Jedi Master Luke Skywalker: Old Ben G12 JTR R4 C-3PO R3 Mon Mothma R1 Chewpio R3 JKL R2-D2 R2 Han R3 Chewbacca R3 Rebel Y-wing Leia G11 HYoda R3 Wedge G11 Biggs G12 Lando R3
Zephyr,297528578,46,37,9,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator 6* GG Wat Tambor G11 4* MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
esmith1153,736978576,58,58,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
Yabba,439127848,58,22,36,Supreme Leader Kylo Ren: KRU Kylo FOST FOE G12 FOO FOTP G12 Phasma G12 Hux G12 FOSFTP Sith Trooper G12 Vet Han G8 5* EP Finalizer 0*
theLeskiss,626646537,44,44,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Amaterasu,935596991,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Amaterasu,935596991,0,0,0,Lord Vader: Hunter Tech Wrecker Tusken Raider Padme GAS Embo Echo (501st) Echo Dooku Zam BTL-B Y-wing Tarkin ARC Trooper Nute
Amaterasu,935596991,57,31,26,Jedi Master Luke Skywalker: Old Ben JTR R5 C-3PO Mon Mothma G12 Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia G12 HYoda Wedge G9 Biggs G9 Lando
Amaterasu,935596991,48,48,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Δ Vitiaté Δ,634879281,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Δ Vitiaté Δ,634879281,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Δ Vitiaté Δ,634879281,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
