Player,Offense,Defense,GP,Name,Squad,Viable
"Phee 11",,,102610,Phasma,"zPhasma FOTP FOE zzKRU zKylo",1
"Phee 11",,,174156,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Phee 11",,,174974,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Phee 11",1,0,148898,CLS,"zzzCLS zHan zzChewbacca zzC-3PO zChewpio",1
"Phee 11",1,1,115820,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Phee 11",0,1,125606,padme,"zzPadme zGK zJKA zAhsoka CW Chewbacca G8",1
"Phee 11",,,472930,Negotiator,"Negotiator HT Anakin's Eta-2, Umbaran SF, Ahsoka's SF, BTL-B Y-wing 6*, Clone Sergeant's ARC-170, Plo's SF",1
"Phee 11",,,419942,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Phee 11",1,1,122108,JTR,"zzzJTR zzR2-D2 zzBB-8 RH Finn G9, RH Poe G9",1
"Phee 11",0,1,125220,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Phee 11",1,0,120931,Traya,"zzTraya zzDN zSion Sith Empire Trooper G9, zzThrawn",1
"Phee 11",,,104276,Mon Mothma,"zzMon Mothma, Baze Wedge Biggs Cara Dune",1
"Phee 11",1,1,96910,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Phee 11",1,0,129268,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Phee 11",0,1,134376,BH,"zzBossk zDengar zzEmbo zBoba zzJango",1
"Phee 11",1,1,100161,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Phee 11",1,0,112667,Troopers,"zVeers zStarck Gideon zStormtrooper zzPiett",1
"Phee 11",0,1,84558,Phoenix,"zHera Kanan Sabine G8, zEzra Zeb",1
"Phee 11",1,0,118330,zMaul,"zDarth Maul, zDooku zSidious Sith Assassin, zSavage",1
"Phee 11",0,1,143861,BS,"zBS zzGMY zJolee zzOld Ben, zzHYoda",1
"Phee 11",1,0,118140,EP (Counter, Rebel),"zzEP Shoretrooper G9, zKrennic DT zzWampa",1
"Phee 11",1,0,86635,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"Phee 11",,,73369,Admiral Raddus,"Admiral Raddus 6* G9, Cassian G8, Jyn K-2SO Chirrut",0
"Phee 11",,,283360,Malevolence,"Malevolence Hyena Bomber 5*, Vulture Droid 4*, Sun Fac SF, Soldier SF, Spy SF",0
"Phee 11",0,1,102020,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Phee 11",,,431205,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter, FOSF TIE Fighter, FO TIE Fighter",0
"Phee 11",,,92088,Bad Batch,"zHunter zEcho Omega G9, zTech zWrecker G9",0
"Deathdealer",0,1,125307,padme,"zzPadme zGK JKA zAhsoka zzC-3PO",1
"Deathdealer",0,1,129065,Grievous,"zzGG zB2 zB1 zMagnaGuard zDooku",1
"Deathdealer",1,1,115681,Revan Offense,"zzJKR zzGMY BS zJolee Ezra",1
"Deathdealer",1,1,94174,Ewoks,"zChirpa Elder zPaploo zWicket Logray",1
"Deathdealer",1,0,140411,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Deathdealer",0,1,125767,BH,"zzBossk zDengar zBoba zJango Cad",1
"Deathdealer",1,0,84444,Wiggs,"Wedge Biggs zCLS Han Chewbacca",1
"Deathdealer",0,1,80442,Phoenix,"Hera zKanan Sabine G8, zZeb Chopper",1
"Deathdealer",,,61515,Phasma,"Phasma G8, FOE 5* G9, FOO G8, KRU G8, Kylo G9",0
"Deathdealer",0,1,92608,Geonosians Omicron,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Deathdealer",,,301550,HansMF,"Home One, Han's MF 5*, Biggs X-wing, Bistan's U-wing 3*, Phantom Ghost Cassian's U-wing, Wedge X-wing",0
"Deathdealer",1,1,71046,JTR,"JTR G8, Scav Rey, BB-8 G8, R2-D2 G8, Finn",0
"Deathdealer",1,1,67922,NS_Alt,"MT G8, AV Spirit G8, Talia 6* G9, Daka G9",0
"Deathdealer",1,1,98801,zEP,"zEP zzzVader Tarkin TFP G8, zTraya",0
"Deathdealer",1,0,64382,Troopers,"Veers Starck G8, Gideon G9, Stormtrooper G8, Snowtrooper G8",0
"Deathdealer",1,1,51294,Rogue1,"Jyn 5* G8, Chirrut G8, Baze 6* G8, Cassian G9, K-2SO G8",0
"Deathdealer",1,0,12402,NestSolo (Counter),"Nest 4*",0
"Nico 1313",0,1,118197,DR,"zzzDR zzHK-47 zBSF Sith Marauder, Sith Empire Trooper",1
"Nico 1313",1,1,116101,Revan,"zzzJKR BS zGMY zJolee GK",1
"Nico 1313",1,0,96556,ShaakClones,"zzShaak Ti, zRex Echo (501st), zzFives ARC Trooper",1
"Nico 1313",1,1,93608,zEP,"zzEP zzzVader Tarkin TFP G8, Sith Trooper",1
"Nico 1313",0,1,115090,FO,"zzKRU zKylo zHux FOO FOE",1
"Nico 1313",1,0,85274,Wiggs,"Wedge Biggs zCLS Han G9, zEzra",1
"Nico 1313",1,0,19848,NestSolo (Counter),"zNest",1
"Nico 1313",,,56235,Grievous Omicron,"GG G9, B2 G8, B1 6* G8, MagnaGuard G5, Droideka G7",0
"Nico 1313",0,1,85238,Geonosians Omicron,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",0
"Nico 1313",,,335389,Negotiator,"Negotiator 6* HT 6* Anakin's Eta-2, Umbaran SF, Ahsoka's SF, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo's SF",0
"Nico 1313",1,1,71392,JTR,"JTR Scav Rey G9, BB-8 G8, R2-D2 G8, Finn G9",0
"Nico 1313",,,66956,Nute-OR,"Nute G9, Dooku 6* G8, Jango Zaalbar G7, Mission G7",0
"Nico 1313",1,1,43749,NS,"MT 3* G6, AV G8, Daka G8, Zombie 5* G8, Spirit 4* G8",0
"Nico 1313",1,1,58657,Ewoks,"Chirpa G8, Elder G8, Paploo G8, Teebo G8, Wicket 5* G8",0
"Nico 1313",0,1,74956,BH,"Bossk 5* IG-88 G8, zBoba Cad G9, The Mandalorian G8",0
"Nico 1313",1,0,55427,Troopers,"Veers 6* G7, Starck G5, Stormtrooper G7, DT G8, Shoretrooper 5*",0
"Nico 1313",0,1,61613,Phoenix,"Hera G8, Kanan G8, Sabine 5* G7, Zeb G8, Chopper G9",0
"Tassk",1,1,111655,NS,"zzMT zzAV zDaka Zombie Spirit",1
