Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,Hotutils style mod score -- higher is better, aim for 3.0.   ((# of 15-19 Speed 0.8) + (# of 20-24 Speed) + (# of 25+ Speed * 1.6)) / (squadGP / 100,000),DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"SnakeEyes",732469127,6686371,3865137,2821234,137,-66,105,341,2019032,1842729,154,3,326,3,232,39,70,93,120,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,19,9,9
"Grandola Paca",715376443,4171889,2476943,1694946,146,223,29,185,1472305,1001988,67,0,87,0,192,8,20,40,60,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,9,6,6
"Renegade",325719955,6970895,4048324,2922571,138,95,55,265,2275357,1763679,135,3,179,0,270,16,48,101,150,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,19,10,10
"Dani Vao",435684793,6450890,3817731,2633159,144,247,79,338,2291446,1521577,152,9,276,1,225,34,59,104,121,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,16,10,7
"Cukorborsó",885258888,7895840,4584207,3311633,138,-104,284,408,2351947,2228051,183,8,438,3,275,54,93,142,153,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,24,9,11
"BenStaWa",262667721,4028632,2403440,1625192,147,151,33,215,1386944,1015820,61,1,119,1,206,12,27,36,55,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,14,10,7
"ARSLFF",369831972,1108246,740420,367826,201,226,0,45,440724,298958,4,0,0,0,34,0,0,5,21,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1sterSlim",242155985,1507326,962350,544976,176,-411,8,19,415131,536667,9,1,0,0,55,0,0,3,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
"TzekelKhan",637384584,5573740,3377143,2196597,153,24,66,346,1842394,1534073,97,10,305,0,206,42,55,77,95,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,12,11,5
"Vilu Dascar",882697885,5653891,3302648,2351243,140,129,84,318,1887443,1414754,118,6,211,1,217,26,52,86,116,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,17,9,10
"TheFoilGuy",386266546,5599793,3424495,2175298,157,-45,81,325,1808854,1615641,107,1,232,1,210,30,51,85,112,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,18,12,11
"schumi",584865814,6353946,3703665,2650281,139,-340,197,366,1684313,2018676,158,8,343,2,229,45,67,97,120,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,21,11,13
"sergio",836754695,4534363,2691956,1842407,146,116,25,136,1528209,1160180,66,7,40,0,204,1,12,42,68,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,9,6,5
"Wonkee",541196571,6124280,3667672,2456608,149,114,24,213,2079894,1581948,148,1,109,0,234,11,28,81,113,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,17,10,9
"Darman Skirata",581518444,4981140,2773810,2207330,125,90,67,219,1558589,1214770,101,1,87,0,191,7,28,64,95,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,14,9,6
"Texas chef",555996344,6849936,4122519,2727417,151,-74,69,328,2139155,1966947,138,3,309,2,237,34,67,96,122,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,20,9,11
"Axvendal",285938811,1394847,861225,533622,161,-113,18,35,439919,420630,10,2,0,0,49,0,0,5,22,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Mol Chod",748559391,7317478,4382275,2935203,149,179,133,383,2554278,1818832,138,6,429,3,251,61,85,110,129,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,22,9,10
"DarklordHaddock",818845414,3862633,2232190,1630443,136,-482,208,268,936667,1295523,59,3,138,1,135,10,33,43,65,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,2,2
"Enderz",884897336,5627282,3438744,2188538,157,157,87,278,1987937,1448157,107,4,190,1,212,23,42,77,111,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,16,11,8
"Leon Ren",985954318,5104825,2947706,2157119,136,-47,25,286,1554934,1392096,121,2,170,0,180,22,31,81,96,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,4
"Ethan Geilvta",966726395,6636352,3792654,2843698,133,-107,143,253,1942792,1847134,119,9,250,1,226,35,50,68,107,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,16,10,9
"noobhemingway",374693456,4923048,2835609,2087439,135,-173,148,163,1404767,1425738,80,6,78,0,192,7,18,47,99,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,15,9,9
"Nico 1313",653651175,3400136,2084210,1315926,158,54,34,110,1152611,931148,34,0,33,0,141,5,8,23,46,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,4,5
"Charybdis",472347133,5199368,3265104,1934264,168,164,53,203,1892366,1367524,82,1,100,1,205,14,23,63,86,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,14,10,10
"IceRoad Combine",873156869,4759629,2852970,1906659,149,-46,266,371,1505533,1346986,81,3,194,1,195,20,56,82,97,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,11,5,8
"Tassk",556241794,5379619,3282595,2097024,156,101,104,260,1849640,1424783,105,4,131,0,214,11,49,65,83,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,13,8,8
"Antisniper v2",572226363,5431002,3198071,2232931,143,-25,75,223,1701331,1490154,87,1,78,0,228,3,34,72,107,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,15,10,7
"MINI kccoyote",475531731,2987329,1549577,1437752,107,-808,101,332,524752,1024825,47,4,147,2,97,18,31,39,46,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,5,4,3
"Lightning12368",735129825,1771337,1163845,607492,191,329,27,92,723116,440729,6,1,7,0,47,0,3,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
"Bellanoche",597539666,5490529,3373007,2117522,159,233,76,240,2010840,1353772,109,4,161,0,206,17,41,59,86,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,14,9,7
"Jangboba",947252962,3272897,2125845,1147052,185,-116,60,164,1085383,1040462,40,2,34,0,156,3,13,34,58,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2
"Allsomea0",834995483,4820537,2923966,1896571,154,191,38,197,1714839,1206477,99,4,132,1,173,21,26,43,87,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,16,10,8
"Deathdealer",849284272,3664591,2300438,1364153,168,125,53,229,1312619,987143,49,3,91,0,145,10,18,48,71,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4
"bdvil",953547694,7054836,4174614,2880222,144,50,105,343,2301599,1867602,154,11,322,3,235,39,69,109,129,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,19,9,9
"Apex Force",948782255,4658191,2759373,1898818,145,203,189,362,1628145,1131228,85,8,249,0,162,35,50,69,78,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,14,9,8
"SeriousB",287952553,6858234,4083969,2774265,147,-60,157,471,2142230,1941739,120,3,537,5,237,80,101,115,134,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,19,5,8
"Thraken Vih'Torr",445438934,4714381,2746255,1968126,139,19,37,160,1494334,1250907,81,3,79,0,164,12,16,44,77,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,9,7
"JennaOrtega",155649927,1429874,937381,492493,190,-33,64,51,496793,438607,6,0,7,0,36,1,1,5,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"O k a y",717868682,4235067,2691501,1543566,174,121,135,221,1532710,1158115,82,4,138,1,153,19,28,38,69,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,8,7,6
"Matt",566569129,5510213,3352273,2157940,155,204,78,307,1978983,1373290,89,7,212,1,196,25,48,79,92,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,16,9,7
"Xebe",497955797,3865286,2279883,1585403,143,-67,21,201,1191152,1088055,61,1,39,0,187,0,19,51,68,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,5
"Rune",354943256,6251144,3724775,2526369,147,200,57,243,2191112,1526525,128,4,186,0,215,27,41,74,96,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,13,8,5
"Veran",635732927,3140641,1953790,1186851,164,59,45,147,1082428,870686,34,4,41,0,115,3,10,28,58,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,7,4
"Phee 11",442687747,7413082,4443278,2969804,149,31,99,369,2426941,2007174,167,7,351,2,252,40,77,127,160,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,23,10,11
"Zack g",133311619,8214623,4873686,3340937,145,104,114,390,2744591,2108340,204,0,492,4,279,63,98,124,156,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,23,9,10
"The original Gary",749455422,4623645,2711428,1912217,141,-272,115,169,1276059,1429188,54,7,106,1,156,15,20,37,59,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9,5,5
"Thraken The First",391943521,5710642,3498026,2212616,158,48,128,326,1928060,1568192,90,5,288,1,176,41,54,75,110,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,15,8,8
