Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Antisniper v2,572226363,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Antisniper v2,572226363,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Antisniper v2,572226363,3,0,3,Troopers: Veers Piett Gideon Dark Trooper Range Trooper G9
Antisniper v2,572226363,3,0,3,Dooku+Asajj: Dooku G9 AV
Jangboba,947252962,4,0,4,Dooku+Asajj: Dooku AV G8
Jangboba,947252962,9,0,9,Geos: GBA G11 Poggle Geo Soldier Sun Fac G8 Geo Spy G8
Xebe,497955797,9,7,2,Troopers: Veers Piett Starck Dark Trooper Range Trooper G10
Xebe,497955797,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Xebe,497955797,8,0,8,Dooku+Asajj: Dooku AV G4
M1sterSlim,242155985,20,0,20,Dooku+Asajj: Dooku G3 4* AV G1 4*
M1sterSlim,242155985,11,1,10,Geos: GBA G10 6* Poggle G10 Geo Soldier G10 Sun Fac G10 Geo Spy G10
Wicked,922163772,0,0,0,Dooku+Asajj: Dooku AV
Wicked,922163772,19,19,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Thraken The First,391943521,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Thraken The First,391943521,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Thraken The First,391943521,2,0,2,Dooku+Asajj: Dooku G10 AV
Cukorborsó,885258888,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Cukorborsó,885258888,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Cukorborsó,885258888,0,0,0,Dooku+Asajj: Dooku AV
Cukorborsó,885258888,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TheFoilGuy,386266546,4,4,0,Dooku+Asajj: Dooku AV
TheFoilGuy,386266546,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
TheFoilGuy,386266546,2,0,2,Grievous: GG G10 B2 B1 Nute MagnaGuard
