Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
SnakeEyes,732469127,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
SnakeEyes,732469127,51,51,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
SnakeEyes,732469127,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Renegade,325719955,49,5,44,Jedi Master Luke Skywalker: Old Ben R3 JTR R2 C-3PO Mon Mothma G8 Chewpio R3 JKL R4 R2-D2 G12 Han R3 Chewbacca Rebel Y-wing Leia G12 HYoda R4 Wedge R2 Biggs G11 Lando
Dani Vao,435684793,55,43,12,Jedi Master Luke Skywalker: Old Ben R3 JTR C-3PO Mon Mothma R2 Chewpio R3 JKL R2 R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Dani Vao,435684793,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Cukorborsó,885258888,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Cukorborsó,885258888,14,14,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Cukorborsó,885258888,52,32,20,Jedi Master Kenobi: GK R6 Bo-Katan Aayla Mace Negotiator GG R5 Wat Tambor R3 MagnaGuard Clone Sergeant R2 QGJ GMY Jango R5 Shaak Ti R4 Cad Cody R1
Cukorborsó,885258888,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
BenStaWa,262667721,55,55,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Vilu Dascar,882697885,59,34,25,Jabba the Hutt: Krrsantan Han Gamorrean Guard Greedo Skiff Guard (Lando Calrissian) R3 JKL Jawa URoRRuR'R'R R1 C-3PO R3 Boushh (Leia Organa) G12 Aurra G12 Fennec Shand Boba Mob Enforcer G13 Outrider
