Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Apex Force,948782255,0,0,0,GAS Special: GAS Ahsoka
Apex Force,948782255,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Apex Force,948782255,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
SnakeEyes,732469127,0,0,0,GAS Special: GAS Ahsoka
SnakeEyes,732469127,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
SnakeEyes,732469127,0,0,0,JKL: JKL HYoda JMLS JKR GK
SnakeEyes,732469127,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
SnakeEyes,732469127,9,0,9,ROLO: ROLO Cpt Solo Leia Baze G7 6* Lando
Matt,566569129,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Matt,566569129,0,0,0,JKL: JKL HYoda GMY JKR GK
IceRoad Combine,873156869,2,0,2,ROLO: ROLO Cpt Solo Han R1 CLS Lando
IceRoad Combine,873156869,10,0,10,JKL: JKL HYoda GMY G13 Jolee G13 GK G12
IceRoad Combine,873156869,17,0,17,Shaak Ti: Shaak Ti G9 Rex R1 Echo (501st) G12 ARC Trooper G12 Fives
Zack g,133311619,0,0,0,GAS Special: GAS Ahsoka
Zack g,133311619,0,0,0,JKL: JKL HYoda GMY JKR GK
Zack g,133311619,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Zack g,133311619,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Zack g,133311619,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Zack g,133311619,14,0,14,Shaak Ti: Shaak Ti Rex Echo (501st) G12 ARC Trooper G10 Fives G12
Deathdealer,849284272,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Deathdealer,849284272,8,1,7,GAS Special: GAS G9 5* Ahsoka
Texas chef,555996344,0,0,0,GAS Special: GAS Ahsoka
Texas chef,555996344,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Texas chef,555996344,4,3,1,ROLO: ROLO Cpt Solo Han Chewbacca Lando
Texas chef,555996344,10,0,10,JKL: JKL HYoda GMY G12 JKR R1 Jolee G12
Sheriffmack,394855655,5,5,0,GAS Special: GAS Ahsoka
Sheriffmack,394855655,12,3,9,Shaak Ti: Shaak Ti G12 Rex Echo (501st) ARC Trooper R2 Fives G12
BenStaWa,262667721,0,0,0,GAS Special: GAS Ahsoka
BenStaWa,262667721,4,4,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Wicked,922163772,16,0,16,ROLO: ROLO G8 Chirrut G12 Han CLS G12 Chewbacca
Wicked,922163772,16,0,16,Shaak Ti: Shaak Ti G8 3* Rex Echo (501st) ARC Trooper G8 Fives
Kregan Gadhar,466854212,1,0,1,Shaak Ti: Shaak Ti Rex Echo (501st) R2 ARC Trooper Fives
Darman Skirata,581518444,6,0,6,GAS Special: GAS G12 Ahsoka R1
Darman Skirata,581518444,16,11,5,Shaak Ti: Shaak Ti R2 Rex R1 Echo (501st) R2 ARC Trooper Fives R2
Enderz,884897336,0,0,0,GAS Special: GAS Ahsoka
Enderz,884897336,4,0,4,ROLO: ROLO Cpt Solo Han G12 CLS Lando
Enderz,884897336,15,7,8,JKL: JKL HYoda GMY G12 Jolee G12 GK
Enderz,884897336,5,0,5,Shaak Ti: Shaak Ti R2 Rex Echo (501st) ARC Trooper Fives G12
Tassk,556241794,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Tassk,556241794,14,0,14,ROLO: ROLO Cpt Solo Leia G9 Baze G9 Lando
Tassk,556241794,3,1,2,JKL: JKL HYoda GMY R2 Jolee R2 GK
noobhemingway,374693456,8,1,7,GAS Special: GAS G9 5* Ahsoka
Bellanoche,597539666,0,0,0,ROLO: ROLO Cpt Solo Han CLS Lando
Bellanoche,597539666,8,0,8,GAS Special: GAS G8 5* Ahsoka
Bellanoche,597539666,8,4,4,JKL: JKL G12 HYoda GMY Jolee GK
