Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Tassk,556241794,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
Tassk,556241794,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Tassk,556241794,47,0,47,Phasma: Phasma G8 FOTP G5 FOSFTP G4 FOST G8 Kylo G8
Tassk,556241794,21,0,21,Grievous Omicron: GG R2 B2 R1 B1 G8 MagnaGuard G8 Droideka R1
Tassk,556241794,4,0,4,Geonosians Omicron: GBA Sun Fac R2 Geo Soldier R2 Geo Spy R2 Poggle R2
Tassk,556241794,48,0,48,Troopers: Veers G9 Piett G4 5* Starck G10 Dark Trooper G4 5* Range Trooper G5 6*
Leon Ren,985954318,16,0,16,Phasma: Phasma G12 FOTP G12 FOSFTP G12 FOST G12 Kylo
Leon Ren,985954318,41,0,41,Grievous Omicron: GG G12 B2 G8 B1 G7 4* MagnaGuard G7 Droideka G5 5*
Leon Ren,985954318,1,0,1,Geonosians Omicron: GBA Sun Fac Geo Soldier Geo Spy Poggle
Leon Ren,985954318,21,0,21,Troopers: Veers Piett G12 Starck Dark Trooper G3 5* Range Trooper G12
Leon Ren,985954318,24,0,24,CLS: CLS Han G12 Chewbacca G8 6* Chewpio G4 4* R2-D2
SeriousB,287952553,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
SeriousB,287952553,0,0,0,padme: Padme GK JKA Ahsoka CAT
SeriousB,287952553,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
SeriousB,287952553,13,0,13,Geonosians Omicron: GBA Sun Fac G12 Geo Soldier G12 Geo Spy R2 Poggle G12
SeriousB,287952553,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
SeriousB,287952553,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
SeriousB,287952553,1,0,1,Grievous Omicron: GG B2 B1 MagnaGuard Droideka
SeriousB,287952553,29,0,29,Troopers: Veers Piett Starck Dark Trooper G1 5* Range Trooper G2 6*
Enderz,884897336,2,0,2,padme: Padme GK JKA R1 Ahsoka C-3PO
Enderz,884897336,1,0,1,CLS: CLS Han Chewbacca Chewpio R2 R2-D2
Enderz,884897336,4,0,4,GAS: GAS Rex Echo (501st) Fives G12 ARC Trooper
Enderz,884897336,36,0,36,Phasma: Phasma G9 FOTP G9 FOSFTP G7 FOST G8 5* Kylo G11
Enderz,884897336,12,0,12,Grievous Omicron: GG G12 B2 G12 B1 MagnaGuard Droideka G12
Enderz,884897336,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Enderz,884897336,44,0,44,Troopers: Veers G12 Piett G10 6* Starck G12 Dark Trooper G1 5* Range Trooper G1 5*
Dani Vao,435684793,4,0,4,padme: Padme GK JKA G12 Ahsoka C-3PO
Dani Vao,435684793,0,0,0,CLS: CLS Han Chewbacca Chewpio R2-D2
Dani Vao,435684793,31,0,31,Phasma: Phasma G12 FOTP G12 FOSFTP G7 FOST G6 3* Kylo G12
Dani Vao,435684793,4,0,4,Grievous Omicron: GG G12 B2 B1 MagnaGuard Droideka
Dani Vao,435684793,1,0,1,Negotiator: Negotiator BTL-B Y-wing 3* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Dani Vao,435684793,16,0,16,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier Geo Spy G12 Poggle G12
Dani Vao,435684793,34,0,34,GAS: GAS R1 Rex G10 Echo (501st) G5 Fives G10 ARC Trooper G7
Deathdealer,849284272,8,0,8,padme: Padme GK JKA G12 Ahsoka C-3PO G12
Deathdealer,849284272,44,0,44,Phasma: Phasma G8 FOTP G9 FOSFTP G1 2* FOST G9 Kylo G9
Deathdealer,849284272,4,0,4,Grievous Omicron: GG B2 B1 MagnaGuard Droideka G12
Deathdealer,849284272,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Deathdealer,849284272,27,0,27,CLS: CLS G12 Han G12 Chewbacca G11 Chewpio G10 4* R2-D2 G8
Deathdealer,849284272,5,0,5,GAS: GAS G11 5* Rex Echo (501st) Fives ARC Trooper
Virus,759495319,0,0,0,padme: Padme GK JKA Ahsoka C-3PO
Virus,759495319,40,0,40,Phasma: Phasma G9 FOTP G9 FOSFTP G1 FOST G9 Kylo G12
Virus,759495319,4,0,4,Grievous Omicron: GG B2 B1 MagnaGuard G12 Droideka
Virus,759495319,1,0,1,Negotiator: Negotiator 5* BTL-B Y-wing 3* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Virus,759495319,1,0,1,Malevolence: Malevolence Hyena Bomber 5* Vulture Droid 3* Sun Fac SF Soldier SF Spy SF
Virus,759495319,19,0,19,Troopers: Veers Piett Starck Dark Trooper G1 2* Range Trooper G12
Vilu Dascar,882697885,4,0,4,padme: Padme GK JKA G12 Ahsoka C-3PO
Vilu Dascar,882697885,17,0,17,Geonosians Omicron: GBA R2 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Vilu Dascar,882697885,8,0,8,CLS: CLS Han Chewbacca Chewpio G10 R2-D2 R1
Vilu Dascar,882697885,18,0,18,Grievous Omicron: GG R1 B2 G12 B1 G12 MagnaGuard G12 Droideka G12
Vilu Dascar,882697885,1,0,1,Negotiator: Negotiator 5* BTL-B Y-wing 3* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Vilu Dascar,882697885,28,0,28,Troopers: Veers G12 Piett Gideon G12 Dark Trooper G1 5* Range Trooper G11
Xebe,497955797,16,0,16,padme: Padme R1 GK R1 JKA G12 Ahsoka G12 C-3PO G12
Xebe,497955797,10,0,10,Troopers: Veers Piett R1 Gideon R2 Dark Trooper R2 Range Trooper G10
Xebe,497955797,44,0,44,Phasma: Phasma G8 FOTP G12 FOSFTP G1 FOST G6 Kylo G9
Xebe,497955797,5,0,5,Geonosians Omicron: GBA Sun Fac R1 Geo Soldier R2 Geo Spy Poggle R1
Xebe,497955797,30,0,30,CLS: CLS G12 Han R1 Chewbacca G11 5* Chewpio G1 2* R2-D2 G12
The original Gary,749455422,0,0,0,Phasma: Phasma FOTP FOSFTP FOST Kylo
The original Gary,749455422,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
The original Gary,749455422,13,0,13,Troopers: Veers G12 Piett Starck Dark Trooper G11 Range Trooper G12
The original Gary,749455422,36,0,36,padme: Padme G8 GK G6 JKA G12 Ahsoka G11 C-3PO G7 6*
The original Gary,749455422,36,0,36,Grievous Omicron: GG G12 B2 G8 5* B1 G8 4* MagnaGuard G8 Droideka G8 6*
The original Gary,749455422,41,0,41,CLS: CLS G8 Han G8 Chewbacca G9 Chewpio G6 4* R2-D2 G8
Bellanoche,597539666,7,0,7,padme: Padme R2 GK JKA G10 Ahsoka C-3PO
Bellanoche,597539666,4,0,4,CLS: CLS Han Chewbacca Chewpio G13 R2-D2 R2
Bellanoche,597539666,42,0,42,Phasma: Phasma G8 FOTP G7 FOSFTP G7 FOST G8 6* Kylo G8
Bellanoche,597539666,1,0,1,Grievous Omicron: GG B2 R2 B1 MagnaGuard Droideka
Bellanoche,597539666,1,0,1,Negotiator: Negotiator BTL-B Y-wing 3* Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
Bellanoche,597539666,20,0,20,Geonosians Omicron: GBA G12 Sun Fac G12 Geo Soldier G12 Geo Spy G12 Poggle G12
Bellanoche,597539666,45,0,45,Troopers: Veers G8 Piett G5 5* Gideon G11 Dark Trooper G5 5* Range Trooper G6 6*
Bellanoche,597539666,37,0,37,GAS: GAS G8 5* Rex G10 Echo (501st) G11 Fives G9 ARC Trooper G5 4*
JennaOrtega,155649927,50,0,50,Phasma: Phasma G7 4* FOTP G5 3* FOE G6 3* KRU G6 3* Kylo G6 4*
BenStaWa,262667721,4,0,4,padme: Padme GK JKA G12 Ahsoka C-3PO
BenStaWa,262667721,0,0,0,Negotiator: Negotiator BTL-B Y-wing Anakin's Eta-2 Rex's ARC-170 Umbaran SF Ahsoka's SF Plo's SF Clone Sergeant's ARC-170
BenStaWa,262667721,0,0,0,GAS: GAS Rex Echo (501st) Fives ARC Trooper
BenStaWa,262667721,46,0,46,Phasma: Phasma G8 FOTP G1 FOSFTP G1 FOST G8 6* Kylo
BenStaWa,262667721,4,0,4,Grievous Omicron: GG B2 G12 B1 MagnaGuard Droideka
BenStaWa,262667721,1,0,1,Malevolence: Malevolence Hyena Bomber Vulture Droid 5* Sun Fac SF Soldier SF Spy SF
